topology	sparsity	num_routers	nodes_per_router	rate	s	s/s	r	r/s	drop%
single_switch	None	1	2	1000k	3163270	316327	1093800	109380	65.0
single_switch	None	1	2	2000k	2326533	232653	792142	79214	65.0
single_switch	None	1	2	3000k	3156777	315677	1112762	111276	64.0
single_switch	None	1	2	4000k	3279105	327910	1155190	115519	64.0
single_switch	None	1	2	5000k	3015140	301514	994364	99436	67.0
single_switch	None	1	2	100k	940804	94080	367921	36792	60.0
single_switch	None	1	2	200k	1777674	177767	224617	22461	87.0
single_switch	None	1	2	200k	1796563	179656	205316	20531	88.0
single_switch	None	1	2	300k	2307955	230795	211847	21184	90.0
